State,Region,Variety,2017,2016,2015,2014,2013,2012,2011,2010,2009
California,NORTH COAST,CABERNET SAUVIGNON,NT,98T,97E,93R,98T,96E,78I,95T,94T
California,NORTH COAST,CHARDONNAY,NT,94E,96E,94R,93R,94E,88I,91E,90R
California,NORTH COAST,ZINFANDEL,NT,93R,90I,93R,92R,92R,74I,90R,85I
California,NORTH COAST,PINOT NOIR,NT,91R,87I,94R,90R,93R,84I,91R,90R
California,PASO ROBLES,PASO ROBLES,NT,NT,NT,93E,94R,90E,88E,92T,87R
California,Santa Barbara,Santa Barbara,NT,NT,NT,94R,93R,93R,87E,92T,87R
Oregon,WILLAMETTE VALLEY,PINOT NOIR,NT,93R,NT,93T,87R,92R,90R,88I,86R
Washington,Washington,CABERNET SAUVIGNON/SYRAH,NT,NT,NT,94T,92T,95T,87E,92T,92T
