,Alcohol,Appellation,Category,Points,Price,Review,Url,Variety,Wine,Winery,Appellation1,Appellation2,Appellation3,Appellation4,wine_type,Varietals,Region,Year,Region2,Var
0,14.9,"Russian River Valley, Sonoma, California, US",Red,87,42.0,"Baked plum, licorice and lavender aromas and flavors define this jammy wine, which takes on a sweetness of oak. Thick on the midpalate, it has substantial weight from the tannins and powerfully ripe fruit.",https://www.winemag.com/buying-guide/v-sattui-2015-gilsson-vineyard-old-vine-zinfandel-russian-river-valley/,Zinfandel,V. Sattui 2015 Gilsson Vineyard Old Vine Zinfandel (Russian River Valley),V. Sattui,Russian River Valley, Sonoma, California, US,Gilsson Vineyard Old Vine Zinfandel,Zinfandel,,2015.0,Russian River Valley,Zinfandel
1,14.5,"Central Coast, Central Coast, California, US",Red,87,19.98,Pomegranate and light baking-spice aromas show on the mellow nose of this bottling. The palate is clean with fruit punch and spice-cake flavors wrapped in a fairly mellow texture.,https://www.winemag.com/buying-guide/wente-2014-coastal-selection-pinot-noir-central-coast-303879/,Pinot Noir,Wente 2014 Coastal Selection Pinot Noir (Central Coast),Wente,Central Coast, Central Coast, California, US,Coastal Selection Pinot Noir,Pinot Noir,,2014.0,Central Coast,Pinot Noir
2,13.8,California Republic,Red,86,15.0,"Butter and vanilla notes dominate the jammy fruit flavors in this rich and seemingly sweet wine. It is medium bodied, lightly tannic and heavily influenced by oaky aromas and flavors, including baking spices and maple syrup.",https://www.winemag.com/buying-guide/california-republic-2016-cabernet-sauvignon-california/,California,California Republic 2016 Cabernet Sauvignon (California),California Republic,California Republic,,,,Cabernet Sauvignon,,California,2016.0,California,Cabernet Sauvignon
3,13.8,"Lodi, Central Valley, California, US",Red,86,10.0,An aroma like toasted almonds and wood smoke meets spiced plum and red-cherry flavors in this medium-bodied wine. It's an oaky version that maintains pretty good balance.,https://www.winemag.com/buying-guide/collier-creek-2015-red-wagon-pinot-noir-lodi/,Pinot Noir,Collier Creek 2015 Red Wagon Pinot Noir (Lodi),Collier Creek,Lodi, Central Valley, California, US,Red Wagon Pinot Noir,Pinot Noir,,2015.0,Lodi,Pinot Noir
4,13.0,"New Jersey, US",Red,86,27.0,"Plum skin and pomegranate lead the nose while white pepper and raw oak take on an earthy edge. The soft-bodied palate is awash in silky tannins, with intense flavors of vanilla, oak and green tobacco leaf over black cherry and plum. There is a spicy kick on the finish, with more vanilla and baked black plum.",https://www.winemag.com/buying-guide/diluca-2016-rosso-black-label-red/,Red Blend,DiLuca 2016 Rosso Black Label Red,DiLuca,New Jersey, US,,,Rosso Black Label,Red Blend,,2016.0,,Red Blend
5,14.7,"Green Valley, Sonoma, California, US",Red,86,65.0,This is a big ripe red wine moderate in structure that offers fleshy mouthfuls of cola and black cherry.,https://www.winemag.com/buying-guide/dutton-estate-2016-thomas-road-pinot-noir-green-valley/,Pinot Noir,Dutton Estate 2016 Thomas Road Pinot Noir (Green Valley),Dutton Estate,Green Valley, Sonoma, California, US,Thomas Road Pinot Noir,Pinot Noir,,2016.0,Green Valley,Pinot Noir
6,13.8,"Columbia Valley (WA), Columbia Valley, Washington, US",Red,86,30.0,"This wine is a blend of 48% Cabernet Sauvignon and 38% Merlot, with the balance Malbec and Petit Verdot. Aromas of mushroom, dried herb, wet gravel, spice and cherry lead to ripe cherry and soy flavors. The palate brings a sense of elegance and appeal.",https://www.winemag.com/buying-guide/gordon-estate-2014-estate-grown-traditions-red-columbia-valley-wa-304181/,Bordeaux-style Red Blend,Gordon Estate 2014 Estate Grown Traditions Red (Columbia Valley (WA)),Gordon Estate,Columbia Valley (WA), Columbia Valley, Washington, US,Estate Grown Traditions Red,Red Blend,,2014.0,Washington,Red Blend
7,13.5,K Squared Cellars,White,86,24.0,"Honey-dipped pineapple and guava, with a touch of fig give this wine a fruity midpalate. This has a moderate structure and a lingering note of anise.",https://www.winemag.com/buying-guide/k-squared-cellars-2017-sauvignon-blanc-sonoma-county/,Sonoma County,K Squared Cellars 2017 Sauvignon Blanc (Sonoma County),K Squared Cellars,K Squared Cellars,,,,Sauvignon Blanc,,Sonoma County,2017.0,,Sauvignon Blanc
8,14.5,"Sonoma Valley, Sonoma, California, US",White,86,30.0,"Thick and oaky, this estate wine evokes caramel and pineapple-upside-down cake—its texture lushly unctuous and rich.",https://www.winemag.com/buying-guide/kunde-2016-c-s-ridge-estate-grown-chardonnay-sonoma-valley/,Chardonnay,Kunde 2016 C.S. Ridge Estate Grown Chardonnay (Sonoma Valley),Kunde,Sonoma Valley, Sonoma, California, US,,Chardonnay,,2016.0,Sonoma Valley,Chardonnay
9,14.2,"Russian River Valley, Sonoma, California, US",Red,86,45.0,"With an ashy undercurrent of char and smoke, this wine offers medium-bodied layers of dried cherry and leather, finishing with a lasting note of black pepper.",https://www.winemag.com/buying-guide/mengler-family-wines-2016-alegria-vineyards-sangiovese-russian-river-valley-303574/,Sangiovese,Mengler Family Wines 2016 Alegria Vineyards Sangiovese (Russian River Valley),Mengler Family Wines,Russian River Valley, Sonoma, California, US,Alegria Vineyards Sangiovese,Sangiovese,,2016.0,Russian River Valley,Sangiovese
10,14.7,Bravante,Red,86,75.0,"Dusty with highlights of cedar and sage, this full-bodied wine presents as somewhat dull on the palate—a soft, rounded and approachable expression of jammy blueberry.",https://www.winemag.com/buying-guide/bravante-2013-cabernet-franc-howell-mountain-303364/,Howell Mountain,Bravante 2013 Cabernet Franc (Howell Mountain),Bravante,Bravante,,,,Cabernet Franc,,Howell Mountain,2013.0,,Cabernet Franc
11,13.5,Esser,White,86,14.0,Yellow apple and sweet oak aromas make for a pleasant if not particularly complex aromatic entry to this bottling. Ripe apple and pear meet with sweet buttercream on the palate.,https://www.winemag.com/buying-guide/esser-2016-chardonnay-monterey-county-303009/,Monterey County,Esser 2016 Chardonnay (Monterey County),Esser,Esser,,,,Chardonnay,,Monterey County,2016.0,,Chardonnay
12,14.7,"Stags Leap District, Napa, California, US",Red,86,22.0,"This is a full-bodied, boldly ripe Cabernet Sauvignon. Soft layers of dark cherry and plum are well integrated and contrasted against dusty crushed rock and toasted oak.",https://www.winemag.com/buying-guide/kirkland-signature-2015-signature-series-cabernet-sauvignon-stags-leap-district/,Cabernet Sauvignon,Kirkland Signature 2015 Signature Series Cabernet Sauvignon (Stags Leap District),Kirkland Signature,Stags Leap District, Napa, California, US,Signature Series Cabernet Sauvignon,Cabernet Sauvignon,,2015.0,California,Cabernet Sauvignon
14,13.5,"Texas, Texas, US",Red,86,25.0,"Aromas of ripe blueberry and blackberry mingle with vanilla and pumpkin spice on the nose. The fruit forward palate shows plum and cranberry backed by dried leaves, nutmeg and vanilla. The tannins are dusty yet structured, while the acidity is tied to the berry flavors and weaves in and out. It finishes with a tart berry flavor loaded with cracked pepper and earthy.",https://www.winemag.com/buying-guide/messina-hof-2015-private-reserve-double-barrel-merlot-texas/,Merlot,Messina Hof 2015 Private Reserve Double Barrel Merlot (Texas),Messina Hof,Texas, Texas, US,,Private Reserve Double Barrel Merlot,Merlot,,2015.0,Texas,Merlot
15,15.5,"Sonoma County, Sonoma, California, US",Red,86,21.0,Brawny fruit is overwhelmed by smoke and charred oak in this thickly tannic wine that has a jammy core of blackberry and marshmallow flavor.,https://www.winemag.com/buying-guide/murphy-goode-2014-liars-dice-zinfandel-sonoma-county/,Zinfandel,Murphy-Goode 2014 Liar's Dice Zinfandel (Sonoma County),Murphy-Goode,Sonoma County, Sonoma, California, US,,Zinfandel,,2014.0,Sonoma County,Zinfandel
16,13.0,"California, California Other, California, US",White,86,9.0,"Pear, butter and vanilla aromas lead to a soft, rich texture and tasty fruit flavors. The wine is medium in weight, low in acidity and easy on the palate.",https://www.winemag.com/buying-guide/oak-grove-2017-family-reserve-chardonnay-california/,Chardonnay,Oak Grove 2017 Family Reserve Chardonnay (California),Oak Grove,California, California Other, California, US,Family Reserve Chardonnay,Chardonnay,,2017.0,California,Chardonnay
17,13.7,Old Soul,Red,86,15.0,"This is an easygoing, fruity wine that shows sweet-oak aromas, a soft texture and candy-like flavors of cherries and raspberries. The body is medium, tannins are light and it finishes with a sense of sweetness.",https://www.winemag.com/buying-guide/old-soul-2016-cabernet-sauvignon-california/,California,Old Soul 2016 Cabernet Sauvignon (California),Old Soul,Old Soul,,,,Cabernet Sauvignon,,California,2016.0,,Cabernet Sauvignon
18,15.1,"Napa Valley, Napa, California, US",Red,86,85.0,This has a wealth of cherry cola flavor that brushes up against varietal black currant and cedar. It takes on a lush brawny ripeness that overwhelms and opts for fruit flavor over structure.,https://www.winemag.com/buying-guide/raymond-2015-lve-cabernet-sauvignon-napa-valley/,Cabernet Sauvignon,Raymond 2015 LVE Cabernet Sauvignon (Napa Valley),Raymond,Napa Valley, Napa, California, US,LVE Cabernet Sauvignon,Cabernet Sauvignon,,2015.0,Napa Valley,Cabernet Sauvignon
19,15.1,"Russian River Valley, Sonoma, California, US",Red,86,45.0,"Floral and quite cherry-berry in fruity flavor, this wine has mild structure and generous tannin, with a midpalate bursting in earthy oak.",https://www.winemag.com/buying-guide/v-sattui-2015-battaglini-vineyard-ancient-vine-zinfandel-russian-river-valley/,Zinfandel,V. Sattui 2015 Battaglini Vineyard Ancient Vine Zinfandel (Russian River Valley),V. Sattui,Russian River Valley, Sonoma, California, US,Battaglini Vineyard Ancient Vine Zinfandel,Zinfandel,,2015.0,Russian River Valley,Zinfandel
20,13.9,"Edna Valley, Central Coast, California, US",Red,86,29.0,Very extracted aromas of red currants and all spice show on the ripe nose of this bottling. Muddled plums and berries meet with spice cake on the rich palate.,https://www.winemag.com/buying-guide/balderdash-2014-joyride-pinot-noir-edna-valley-303825/,Pinot Noir,Balderdash 2014 Joyride Pinot Noir (Edna Valley),Balderdash,Edna Valley, Central Coast, California, US,Joyride Pinot Noir,Pinot Noir,,2014.0,Edna Valley,Pinot Noir
21,13.8,"Sierra Foothills, Sierra Foothills, California, US",Red,86,25.0,"This big and rather tart wine has a green streak in the piney, woody aromas and flavors that accompany red-cherry and sour-cherry notes.",https://www.winemag.com/buying-guide/binz-2016-oleta-vineyard-barbera-sierra-foothills-303259/,Barbera,Binz 2016 Oleta Vineyard Barbera (Sierra Foothills),Binz,Sierra Foothills, Sierra Foothills, California, US,Oleta Vineyard Barbera,Barbera,,2016.0,Sierra Foothills,Barbera
22,13.5,"Mendocino County, Mendocino County, California, US",White,86,21.0,"Rustic and hearty in style, this medium-bodied wine has earthy aromas, strong acidity and flavors like peach skin and grapefruit rind.",https://www.winemag.com/buying-guide/briceland-2017-spirit-canyon-vineyard-arneis-mendocino-county/,Arneis,Briceland 2017 Spirit Canyon Vineyard Arneis (Mendocino County),Briceland,Mendocino County, Mendocino County, California, US,Spirit Canyon Vineyard Arneis,,Arneis,2017.0,Mendocino County,Spirit Canyon Vineyard Arneis
23,13.7,Carson Scott,Red,86,15.0,"This wine has fresh fruit flavors and a fair share of vanilla and nutmeg from aging with oak. It feels smooth, medium bodied and soft in structure as little tannin comes through.",https://www.winemag.com/buying-guide/carson-scott-2016-cabernet-sauvignon-california/,California,Carson Scott 2016 Cabernet Sauvignon (California),Carson Scott,Carson Scott,,,,Cabernet Sauvignon,,California,2016.0,,Cabernet Sauvignon
24,14.7,"Fair Play, Sierra Foothills, California, US",Red,86,25.0,"Boasting overripe aromas and flavors of raisins and dried cherries, this wine is full bodied and very broad.",https://www.winemag.com/buying-guide/charles-b-mitchell-2014-estate-reserve-cabernet-franc-fair-play/,Cabernet Franc,Charles B. Mitchell 2014 Estate Reserve Cabernet Franc (Fair Play),Charles B. Mitchell,Fair Play, Sierra Foothills, California, US,Estate Reserve Cabernet Franc,Cabernet Franc,,2014.0,Sierra Foothills,Cabernet Franc
25,14.1,"Russian River Valley, Sonoma, California, US",Red,86,46.0,"This is an austere, earthy and tannic red tangy in strawberry and dark cherry with a lingering taste of hazelnut and oak.",https://www.winemag.com/buying-guide/dutton-estate-2015-karmen-isabella-pinot-noir-russian-river-valley/,Pinot Noir,Dutton Estate 2015 Karmen Isabella Pinot Noir (Russian River Valley),Dutton Estate,Russian River Valley, Sonoma, California, US,Karmen Isabella Pinot Noir,Pinot Noir,,2015.0,Russian River Valley,Pinot Noir
26,13.7,"Columbia Valley (WA), Columbia Valley, Washington, US",Red,86,24.0,"Aromas of green pepper, black currant, plum and spice are at the fore. The flavors are reserved in style, not staying together throughout but still providing some appeal.",https://www.winemag.com/buying-guide/gordon-estate-2015-estate-grown-cabernet-sauvignon-columbia-valley-wa-304178/,Cabernet Sauvignon,Gordon Estate 2015 Estate Grown Cabernet Sauvignon (Columbia Valley (WA)),Gordon Estate,Columbia Valley (WA), Columbia Valley, Washington, US,Estate Grown Cabernet Sauvignon,Cabernet Sauvignon,,2015.0,Washington,Cabernet Sauvignon
27,13.7,"Texas, Texas, US",White,86,24.0,"Yellow peach and Mandarin orange peel are shy on the nose. The palate offers bright acidity and flavors of ripe yellow peach, pear, white flower and chalk. Lemon and orange flavors finish with a chalky texture.",https://www.winemag.com/buying-guide/grape-creek-vineyards-2016-cuvee-blanc-white-texas/,White Blend,Grape Creek Vineyards 2016 Cuvée Blanc White (Texas),Grape Creek Vineyards,Texas, Texas, US,,,White Blend,,2016.0,Texas,White Blend
28,14.6,Gundlach Bundschu,Red,86,35.0,"This wine possesses a hearty helping of tannin and herbal elements that won't appeal to all. Full bodied and concentrated in ripeness, the dried herbs and cedar dominate on the nose and palate. Small amounts of Petit Verdot, Cabernet Sauvignon and Malbec are blended in.",https://www.winemag.com/buying-guide/gundlach-bundschu-2015-merlot-sonoma-valley-303188/,Sonoma Valley,Gundlach Bundschu 2015 Merlot (Sonoma Valley),Gundlach Bundschu,Gundlach Bundschu,,,,Merlot,,Sonoma Valley,2015.0,,Merlot
29,13.0,"Redwood Valley, Mendocino County, California, US",Rose,86,23.0,"An especially bright copper color make this wine stand out visually, while tart fruit flavors and a very dry crisp texture complete the picture. Moderate in alcohol, it has a lean taste profile, too.",https://www.winemag.com/buying-guide/jigar-2017-tollini-vineyard-grenache-rose-redwood-valley-303773/,Rosé,Jigar 2017 Tollini Vineyard Grenache Rosé (Redwood Valley),Jigar,Redwood Valley, Mendocino County, California, US,Tollini Vineyard Grenache,Rosé,,2017.0,Mendocino County,Rosé
30,14.3,"Red Mountain, Columbia Valley, Washington, US",Red,86,25.0,"This wine is a blend of 38% Merlot, 31% Cabernet Franc, 25% Cabernet Sauvignon and 6% Petit Verdot. Aromas of dried cherry and baking spice lead to tangy, somewhat green seeming fruit flavors that drop off on the finish.",https://www.winemag.com/buying-guide/auclair-2016-96-cedars-red-red-mountain-304193/,Bordeaux-style Red Blend,Auclair 2016 96 Cedars Red (Red Mountain),Auclair,Red Mountain, Columbia Valley, Washington, US,,Red Blend,,2016.0,Washington,Red Blend
31,13.8,Binz,Red,86,25.0,"This medium-bodied wine shows a lot of oak influence in the baking-spice aromas, cedar and vanilla flavors and spicy finish. Under the oak are bright raspberry and cherry flavors.",https://www.winemag.com/buying-guide/binz-2016-barbera-sierra-foothills-303282/,Sierra Foothills,Binz 2016 Barbera (Sierra Foothills),Binz,Binz,,,,Barbera,,Sierra Foothills,2016.0,,Barbera
32,14.3,Caricature,Red,86,15.0,"Obvious oak aromas and an almost sweet sensation on the palate give this wine a sense of wearing plenty of makeup. The texture is broad and soft, and the flavors are like candied cherries.",https://www.winemag.com/buying-guide/caricature-2016-cabernet-sauvignon-clarksburg/,Clarksburg,Caricature 2016 Cabernet Sauvignon (Clarksburg),Caricature,Caricature,,,,Cabernet Sauvignon,,Clarksburg,2016.0,,Cabernet Sauvignon
33,13.5,Esser,Red,86,13.0,"Red cherry and turned earth show on the simple but clean nose of this bottling. Tart red fruit and more dusty qualities show on the sip, with a hint of vanilla on the finish.",https://www.winemag.com/buying-guide/esser-2016-merlot-monterey-county-303515/,Monterey County,Esser 2016 Merlot (Monterey County),Esser,Esser,,,,Merlot,,Monterey County,2016.0,,Merlot
34,13.5,Esser,White,86,11.0,"Cut grass and pungent green-apple slices make for a familiar entry to the nose of this bottling. The palate starts with Granny Smith apple and nectarine flavors, but they are short-lived and the texture is flat.",https://www.winemag.com/buying-guide/esser-2017-sauvignon-blanc-monterey-county-303169/,Monterey County,Esser 2017 Sauvignon Blanc (Monterey County),Esser,Esser,,,,Sauvignon Blanc,,Monterey County,2017.0,,Sauvignon Blanc
35,13.6,Haak,Red,86,35.0,"Aromas of black plum, ripe raspberry, violet, bay leaf, fresh thyme and black pepper spice are savory on the nose. The palate shows tart cranberry and black cherry, with an earthy, herbal undertow. The tannins are soft textured but very drying, while the acidity is tangy with an underripe berry flavor. A leathery tone is introduced on the finish, while the tannins hug the tip of the tongue.",https://www.winemag.com/buying-guide/haak-2016-touriga-nacional-texas-high-plains-303429/,Texas High Plains,Haak 2016 Touriga Nacional (Texas High Plains),Haak,Haak,,,,Touriga Nacional,,Texas High Plains,2016.0,,Touriga Nacional
36,13.0,Jefferson Vineyards,White,86,30.0,"This Viognier is nutty on the nose. A hints of an underripe papaya aroma is followed by a tangy impression on the palate. Oily in feel and full in body, the finish is long and flabby.",https://www.winemag.com/buying-guide/jefferson-vineyards-2017-viognier-virginia/,Virginia,Jefferson Vineyards 2017 Viognier (Virginia),Jefferson Vineyards,Jefferson Vineyards,,,,Viognier,,Virginia,2017.0,,Viognier
37,14.5,Klinker Brick,Red,86,25.0,"This is a showy brash wine that smells smoky and oaky, has medium body and tastes like wood char, cranberries and vanilla. Not much varietal character comes through but it will please oak lovers.",https://www.winemag.com/buying-guide/klinker-brick-2015-carignane-lodi/,Lodi,Klinker Brick 2015 Carignane (Lodi),Klinker Brick,Klinker Brick,,,,Carignane,,Lodi,2015.0,,Carignane
38,15.1,"Alexander Valley, Sonoma, California, US",Red,86,26.0,"This wine opens gritty in texture and tannin before softening on the midpalate. Black fruit, cedar, dried herb and black pepper combine for a forceful experience of power and serious ripeness.",https://www.winemag.com/buying-guide/la-storia-2016-block-303-zinfandel-alexander-valley-304601/,Zinfandel,La Storia 2016 Block 303 Zinfandel (Alexander Valley),La Storia,Alexander Valley, Sonoma, California, US,Block,Zinfandel,,2016.0,California,Zinfandel
39,12.0,"Clarksburg, Central Valley, California, US",White,86,15.0,"This is a sweet but light-bodied dessert-style wine that will taste great with cheese, desserts that aren't too sweet, or on its own. It has floral aromas and flavors like apricots and tutti-frutti ice cream, but it also has good acidity to keep it balanced.",https://www.winemag.com/buying-guide/langetwins-2017-estate-grown-moscato-clarksburg/,Moscato,LangeTwins 2017 Estate Grown Moscato (Clarksburg),LangeTwins,Clarksburg, Central Valley, California, US,Estate Grown Moscato,Moscato,,2017.0,Clarksburg,Moscato
40,13.9,Luke,Red,86,25.0,"Toast, plum, herb and cherry aromas are followed by light, slightly sweet seeming fruit flavors. The tannins seem quite bunched up, not appearing to have fully ripened, and the fruit concentration a bit light.",https://www.winemag.com/buying-guide/luke-2016-merlot-wahluke-slope-304238/,Wahluke Slope,Luke 2016 Merlot (Wahluke Slope),Luke,Luke,,,,Merlot,,Wahluke Slope,2016.0,,Merlot
41,13.8,"Santa Cruz Mountains, Central Coast, California, US",Red,86,28.95,"The aromas of cedar and cigar box consume the dark fruit on the nose of this bottling. Similar wood-spice and pine-oil flavors are wrapped around the palate, with flashes of black plum and tobacco trying to emerge.",https://www.winemag.com/buying-guide/martin-ranch-2015-j-d-hurley-cabernet-sauvignon-santa-cruz-mountains-303855/,Cabernet Sauvignon,Martin Ranch 2015 J.D. Hurley Cabernet Sauvignon (Santa Cruz Mountains),Martin Ranch,Santa Cruz Mountains, Central Coast, California, US,,Cabernet Sauvignon,,2015.0,Santa Cruz Mountains,Cabernet Sauvignon
42,12.5,"Texas High Plains, Texas, US",White,86,19.0,"This Texas Sémillon offers a chalky nose that blends with fresh clementine, lime and pine needles. The light palate is somewhat creamy due to rounded acidity, presenting flavors of lemon juice, crushed stone and a touch of lemongrass. There is some mineral-driven astringency on the finish alongside citrus and white pepper.",https://www.winemag.com/buying-guide/messina-hof-2017-private-reserve-semillon-texas-high-plains/,Sémillon,Messina Hof 2017 Private Reserve Sémillon (Texas High Plains),Messina Hof,Texas High Plains, Texas, US,,Private Reserve,Sémillon,,2017.0,Texas High Plains,Sémillon
44,15.2,"Yountville, Napa, California, US",Red,86,85.0,This vineyard-designate has a sweet nose of oak and corresponding thick ripe richness on the palate—a full-bodied take that's generous in tannin and flavors of vanilla and coconut.,https://www.winemag.com/buying-guide/rocca-2014-grigsby-cabernet-sauvignon-yountville/,Cabernet Sauvignon,Rocca 2014 Grigsby Cabernet Sauvignon (Yountville),Rocca,Yountville, Napa, California, US,Grigsby Cabernet Sauvignon,Cabernet Sauvignon,,2014.0,California,Cabernet Sauvignon
45,14.4,Blue Victorian Winery,Red,86,42.0,"A heavy oak influence gives this full-bodied wine smoky, charred aromas and flavors that dampen the fruity components that may have been in the grapes. It's bold and spicy.",https://www.winemag.com/buying-guide/blue-victorian-winery-2016-barbera-suisun-valley/,Suisun Valley,Blue Victorian Winery 2016 Barbera (Suisun Valley),Blue Victorian Winery,Blue Victorian Winery,,,,Barbera,,Suisun Valley,2016.0,,Barbera
46,14.5,Carnivor,Red,86,15.0,"A deep, dark color and deep, dark flavors steal the show in this extra-ripe and extremely spicy wine. Oak is the star, as cedar, clove, vanilla, cinnamon and smoke notes pervade the aromas, flavors and finish.",https://www.winemag.com/buying-guide/carnivor-2016-zinfandel-california/,California,Carnivor 2016 Zinfandel (California),Carnivor,Carnivor,,,,Zinfandel,,California,2016.0,,Zinfandel
47,14.9,"Lodi, Central Valley, California, US",Red,86,10.0,"Soft-textured and definitely fruity, this easy-going non-oaky wine is charming for its fresh raspberry aromas and red-fruit flavors. The texture is smooth and non-tannic.",https://www.winemag.com/buying-guide/collier-creek-2016-old-press-zinfandel-lodi/,Zinfandel,Collier Creek 2016 Old Press Zinfandel (Lodi),Collier Creek,Lodi, Central Valley, California, US,Old Press Zinfandel,Zinfandel,,2016.0,Lodi,Zinfandel
48,13.5,Formation,Red,86,14.99,"Quite light in the glass, this twist-top bottling shows hints of hibiscus, cranberry and damp herbs on the nose. The palate offers tart flavors of tomato and orange rind, lifted by fresh herbs.",https://www.winemag.com/buying-guide/formation-2015-pinot-noir-monterey-303846/,Monterey,Formation 2015 Pinot Noir (Monterey),Formation,Formation,,,,Pinot Noir,,Monterey,2015.0,,Pinot Noir
49,12.2,Gray Ghost,White,86,18.0,"Fresh honeydew, aloe and juniper flavors mingle in this medium-bodied Vidal Blanc, while the nose is fainter, with soft notes of lemon and limestone. There's a sweetness to the wine, but it's tempered by a spicy strain that helps keep it aloft. This is an easy, approachable wine.",https://www.winemag.com/buying-guide/gray-ghost-2017-vidal-blanc-virginia/,Virginia,Gray Ghost 2017 Vidal Blanc (Virginia),Gray Ghost,Gray Ghost,,,,Vidal Blanc,,Virginia,2017.0,,Vidal Blanc
51,12.5,"Texas, Texas, US",White,86,10.0,"Aromas of orange blossoms, lemon peels and yellow apples are pleasant on the nose. The palate offers ripe orange, lime juice and lime leaves, but the dry finish is astringent and sweeps away those juicy citrus flavors.",https://www.winemag.com/buying-guide/llano-estacado-2017-signature-series-pinot-grigio-texas/,Pinot Grigio,Llano Estacado 2017 Signature Series Pinot Grigio (Texas),Llano Estacado,Texas, Texas, US,,Signature Series Pinot Grigio,Pinot Grigio,,2017.0,Texas,Pinot Grigio
52,13.5,"Texas, Texas, US",Rose,86,10.0,"Aromas of lemon oil and citrus blossom are wrapped in an herbal haze on the nose of this Sauvignon Blanc that's blended with 23% Chenin Blanc and 1% each of Marsanne and Viognier. The palate is dry and astringent, with spry lemon-lime acidity and flavors of ripe apple, blossoms and a whisper of salinity.",https://www.winemag.com/buying-guide/llano-estacado-2017-signature-series-sauvignon-blanc-texas/,Sauvignon Blanc,Llano Estacado 2017 Signature Series Sauvignon Blanc (Texas),Llano Estacado,Texas, Texas, US,,Signature Series Sauvignon Blanc,Sauvignon Blanc,,2017.0,Texas,Sauvignon Blanc
53,14.8,"Horse Heaven Hills, Columbia Valley, Washington, US",Red,86,44.0,"Light aromas of cherry, vanilla and spice lead to full-bodied fruit flavors backed by dry, grippy tannins that come off as quite aggressive out of the gate but calm down a bit with a day open.",https://www.winemag.com/buying-guide/maryhill-2015-vineyard-series-mckinley-springs-vineyard-cabernet-sauvignon-horse-heaven-hills-304188/,Cabernet Sauvignon,Maryhill 2015 Vineyard Series McKinley Springs Vineyard Cabernet Sauvignon (Horse Heaven Hills),Maryhill,Horse Heaven Hills, Columbia Valley, Washington, US,Vineyard Series McKinley Springs Vineyard Cabernet Sauvignon,Cabernet Sauvignon,,2015.0,Washington,Cabernet Sauvignon
54,14.5,Maxville,White,86,34.0,"Floral and herbal, this wine offers bright, persistent acidity around a full-bodied embrace of ripe peach and pineapple.",https://www.winemag.com/buying-guide/maxville-2016-sauvignon-blanc-napa-valley/,Napa Valley,Maxville 2016 Sauvignon Blanc (Napa Valley),Maxville,Maxville,,,,Sauvignon Blanc,,Napa Valley,2016.0,,Sauvignon Blanc
55,13.5,"Mendocino, Mendocino County, California, US",White,86,14.0,"The aromas of this medium-bodied wine overflow with apples and peaches, and the flavors are crisp, fruity and clean. The mouthfeel is rather rich for the varietal and backed by a nip of good acidity.",https://www.winemag.com/buying-guide/parducci-2017-small-lot-pinot-gris-mendocino/,Pinot Gris,Parducci 2017 Small Lot Pinot Gris (Mendocino),Parducci,Mendocino, Mendocino County, California, US,Small Lot Pinot Gris,Pinot Gris,,2017.0,Mendocino County,Pinot Gris
57,13.5,The Seeker,White,86,14.0,"An earthy, buttery aroma leads to warm peach and spice flavors. This wine has a nicely rich texture and is light on fruitiness and acidity.",https://www.winemag.com/buying-guide/the-seeker-2016-chardonnay-california/,California,The Seeker 2016 Chardonnay (California),The Seeker,The Seeker,,,,Chardonnay,,California,2016.0,,Chardonnay
58,12.6,"Virginia, Virginia, US",Red,86,38.0,"This wine is fruity in nature, with soft tannins, oak spice and red-berry flavors. It has a juicy aftertaste that blends with the fruitiness.",https://www.winemag.com/buying-guide/veramar-2017-jb-winemaker-series-tannat-virginia/,Tannat,Veramar 2017 JB Winemaker Series Tannat (Virginia),Veramar,Virginia, Virginia, US,,JB Winemaker Series Tannat,Tannat,,2017.0,Virginia,Tannat
59,12.6,Wilson Creek,White,86,30.0,"Strong lemon-peel, Pink Lady apple and orange-blossom aromas show on the nose of this bottling. The palate starts slightly sweet and grows much sweeter toward the finish, with ripe pear and apple flavors, but not much acidity.",https://www.winemag.com/buying-guide/wilson-creek-2016-orange-muscat-california/,California,Wilson Creek 2016 Orange Muscat (California),Wilson Creek,Wilson Creek,,,,Orange Muscat,,California,2016.0,,Orange Muscat
60,14.2,"Carneros, Napa-Sonoma, California, US",White,86,40.0,"A broadly defined, simply structured white, this has expansive richness on the palate and measured acidity on offer. Green apple, lime and lemon custard provide varietal character.",https://www.winemag.com/buying-guide/windvane-2016-estate-grown-chardonnay-carneros/,Chardonnay,WindVane 2016 Estate Grown Chardonnay (Carneros),WindVane,Carneros, Napa-Sonoma, California, US,Estate Grown Chardonnay,Chardonnay,,2016.0,Carneros,Chardonnay
61,14.0,Telios,Red,86,15.0,"This medium-bodied wine has good fresh fruit flavors that verge on jammy, boosted by a sweet-seeming oak character that includes vanilla, maple and brown sugar accents. It's smooth in texture and light in tannin content for this varietal.",https://www.winemag.com/buying-guide/telios-2016-cabernet-sauvignon-lodi-303275/,Lodi,Telios 2016 Cabernet Sauvignon (Lodi),Telios,Telios,,,,Cabernet Sauvignon,,Lodi,2016.0,,Cabernet Sauvignon
